Model,Val_Accuracy,Val_ROC_AUC,Test_Accuracy,Test_ROC_AUC
Logistic Regression,0.8252985404688191,0.8888756170527579,0.827779416101445,0.8868324589195364
Random Forest,0.8968008255933952,0.9215152212305263,0.8975228546151578,0.9240069593750796
Random Forest (No Duration),0.818811735220404,0.7877038844935279,0.8153936891772339,0.7826490221564251
XGBoost (No Duration),0.8291316526610645,0.8068769444232982,0.8264523739309938,0.8046316312988272
